names,details,standard_price,sale_price,promo
Instant Plumping Cream 50ml,"Omorovicza Instant Plumping Cream is a rich, indulgent night cream that plumps surface imperfections overnight.",£110.00,,
Silver Skin Lotion 50ml,"Omorovicza Silver Skin Lotion is a light daily moisturiser designed to tackle blemishes and breakouts to leave skin soothed, clarified and refined.",£80.00,,
Moor Cream Cleanser 150ml,Omorovicza's Moor Cream Cleanser is a classic cleansing cream with a decadent twist – the ultimate daily urban detox.,£54.00,,
Refining Facial Polisher 100ml,"Omorovicza's Refining Facial Polisher is a facial exfoliator designed to refine and polish dull, lacklustre skin.",£60.00,,
Oxygen Booster 15ml,"Designed to breathe new life into tired skin, Omorovicza's award-winning Oxygen Booster is a unique solution that instantly plumps skin and resurfaces wrinkles for a smoother, firmer appearance.",£50.00,,
Gold Rescue Cream 50ml,The intensely nourishing Omorovicza Gold Rescue Cream is powered by a potent thermal-water-in-oil barrier formulation that transforms the skin.,£185.00,,
Elemental Emulsion 50ml,Elemental Emulsion 50ml from the Omorovicza collection.,£87.00,,
Glam Glow 150ml,"Omorovicza Glam Glow is an award-winning, citrus-scented face and body self-tanner that awakens and heals dull, tired skin.",£37.00,,
Blue Diamond Eye Cream 15ml,Omorovicza's Blue Diamond Eye Cream is an anti-ageing eye cream formulated to revitalise and lift tired eyes.,£165.00,,
Perfecting Lip Balm,Perfecting Lip Balm from the Omorovicza collection.,£33.00,,
Blue Diamond Concentrate 30ml,The Omorovicza Blue Diamond Concentrate Serum restores the luminous vibrancy of young skin.,£295.00,,
Blue Diamond Resurfacing Peel 50ml,"This opalescent Omorovicza Blue Diamond Resurfacing Peel will simultaneously lighten, brighten and firm your complexion.",£145.00,,
Magic Moisture Mist 50ml,Omorovicza's Magic Moisture mist is a quick-fix liquid moisturiser with a two-phase formula that's designed to deliver instant hydration and revitalisation to dry skin.,£65.00,,
Midnight Radiance Mask 50ml,Omorovicza Midnight Radiance Mask is a leave-on night mask for hydration and effortless skin repair.,£80.00,,
Balancing Moisturiser 50ml,Balancing Moisturiser from the Omorovicza collection.,£87.00,,
Revitalising Scalp Mask 200ml,"Omorovicza's Revitalising Scalp Mask is a scalp treatment containing the brand's signature ingredient, Hungarian Moor Mud, to gently and effectively detoxify and revitalise the scalp which, in turn, promotes healthier hair.",£55.00,,
Gold Hydralifting Mask 50ml,"Omorovicza's Gold Hydralifting Mask is an anti-ageing flash face mask designed to rapidly heal tired, dehydrated skin.",£120.00,,
Cleansing Facial Mitt,Cleansing Facial Mitt from the Omorovicza collection.,£10.00,,
Silver Skin Tonic 100ml,"Omorovicza Silver Skin Tonic is a daily toner designed to tackle blemishes and breakouts to leave skin soothed, clarified and refined.",£55.00,,
Thermal Cleansing Balm 50ml,Thermal Cleansing Balm 50ml from the Omorovicza collection.,£55.00,,
Blue Diamond Supercream 50ml,"Omorovicza's Blue Diamond Supercream is a firming, hydrating anti-ageing face cream formulated to rebuild and revitalised stressed or damaged skin.",£275.00,,
Soothing Shave 150ml,This moisturising and soothing Omorovicza shave cream combines the anti-inflammatory properties of Hungarian minerals and the cooling quality of camphor and menthol.,£25.00,,
Hydra Melting Cleanser 100ml,This triple-phase Hydra Melting Cleanser effortlessly removes all makeup and impurities without stripping the skin.,£65.00,,
Peachy Micellar Cleansers 60 Discs,"Omorovicza's Peachy Micellar Cleansers make a perfect half of your daily double cleanse, or the ideal on-the-go skin care solution.",£35.00,,
Peachy Micellar Cleansers Refill Pack,Omorovicza's Peachy Micellar Cleansers Refill Pack contains 60 discs to replenish the original Peachy Micellar Cleansers pot when it's empty.,£30.00,,
Cashmere Cleanser 100ml,"Cashmere Cleanser from Omorovicza is a gentle facial cleanser with a skin-feel that's comparable to the softest, most comforting fabric.",£49.00,,
Silver Skin Saviour 50ml,"A guardian angel for blemish-prone skin, Omorovicza's award-winning Silver Skin Saviour embodies the strength of silver to offer some much-needed salvation for complexions in need.",£65.00,,
Gentle Buffing Cleanser 150ml,Gentle Buffing Cleanser from the Omorovicza collection.,£55.00,,
Deep Cleansing Mask 100ml,"Omorovicza's Deep Cleansing Mask offers far more than the usual deep cleansing treatment, formulated with white clay to detoxify and brighten oily, congested skin.",£105.00,,
Nourishing Hand Treatment Cream,Nourishing Hand Treatment Cream from the Omorovicza collection.,£45.00,,
Firming Body Oil 100ml,"Aromatic and invigorating, this Omorovicza firming body oil tones and improves elasticity.",£52.00,,
Acid Fix 30ml,"Omorovicza's Acid Fix is a multi-purpose facial treatment that effortlessly exfoliates, peels, resurfaces, brightens and plumps the skin.",£87.00,,
Bagatelle de Gabrielle Eau de Toilette 100ml,"Bagatelle de Gabrielle is the first perfume from Omorovicza, inspired by the romantic and beguiling atmosphere of the Omorovicza Spa in Budapest where the label’s founders met.",£120.00,,
Face Glow 50ml,"Omorovicza Face Glow is a citrus-scented facial self tan that captures a natural-looking, golden glow all year round.",£32.00,,
Mineral Touch Concealer,A combination of a cream texture and long-lasting coverage the Mineral Touch provides a picture-perfect finish.,£35.00,,
Rose Lifting Serum 30ml,This skin-smoothing and plumping Rose Lifting Serum from Omorovicza acts on all layers of the skin to remodel and rejuvenate the complexion.,£87.00,,
Firming Neck Cream 50ml,"Omorovicza's Firming Neck Cream nourishes the delicate neck and décollete to plump, tighten, lift and firm skin for improved definition.",£95.00,,
Gold Shimmer Oil 100ml,"Gold Shimmer Oil is an award-winning formula from Omorovicza, designed to calm, heal and hydrate skin with a soft, shimmering finish.",£52.00,,
Copper Skin Peel 16 Set,"This foaming two-phase <strong>Omorvicza face peel</strong>, combines a blue copper paste and a lactic acid activator, which polishes and smoothes the complexion and visibly reduces pore size for a brighter, more even skin tone.",£95.00,,
Thermal Cleansing Balm 100ml,"This gentle, black Omorovicza facial cleansing balm is rich in Hungarian Moor Mud, whose unique mineral complex detoxifies and purifies the skin.",£88.00,,
